MEC408, REDES INDUSTRIALES
MEC405, REDES INDUSTRIALES II 
IND513, REGULACION AUTOMATICA 
REL302, RELACIONES INTERN. II
REL103, RELACIONES PUBLICAS Y PRO 
CIV302, RESIST. DE MATERIALES I
CIV302, RESIST. DE MATERIALES I
CIV306, RESIST. MATERIALES II
CEOF-07, RETOS Y DESAFIOS FAM. HOY
NADI 4, ROOMSCAPE -
NUE303, SALUD PÚBLICA
CCC505, SEGURIDAD COMPUTACIONAL 
CSI-03, SEGURIDAD PERIMETRAL EN REDES
ECO401, SEM. POLITICA ECONOMICA - 01/307
COM105, SEMIOLOGÍA Y ANÁLISIS DEL DIS. 
DCD204, SEMIOLOGÍA Y DIAGNÓSTICO - lunes y miercoles 2:20 - 6:30
DGR202, SEMIOTICA - Taller de Diseño
MEC306, SENSORES Y ACTUADORES 
TLL311, SERVICIO AL CLIENTE
DER423, SIMULACION JUDICIAL
NUE207, SIST. GASTROINT. Y PROC. MET.
TUR209, SIST. INFORM. TURISTICA
CICA-06, SISTEMA GES. INOCU. DE LA AL.
NUE206, SISTEMA NERVIOSO Y ENDOCRINO
NUE205, SISTEMA UROGENITAL Y RENAL
TEL402, SISTEMAS DE COMUNIC.
ARQ333, SISTEMAS DE CONSTRUCCION -
ARQ344, SISTEMAS DE INFOR. GEOGRAFICA
INF301, SISTEMAS DE INFORMACION
INF301, SISTEMAS DE INFORMACION 
TUR304, SISTEMAS DE TRANS. TURISTICOS
DGR405, SISTEMAS IMPRESION SERIGRAFICA - Taller de Diseño
CCC401, SISTEMAS OPERATIVOS I
IND521, SISTS. AUTOM. MANUFACTURA I 
BIO203, SOCIEDAD HUMANA Y ECOLOGIA
SOC101, SOCIOLOGIA
DER415, SOLUCION CONTR. COMERC. INTER. - Clase Tutorial Relaciones Internacionales
CEHG-10, TALLER INTEGRADOR
PSE310, TECNICA TERAPEUTICA - Plan Viejo Comp. secc 537
DGR300, TECNICAS DE EXPRESION E ILUST. - Taller de diseño
CDI-2, TECNICAS DE PRESENTACION
TUR208, TECNO. HOSPEDAJE II
CCC504, TECNOLOGIAS EMERGENTES
DEP117, TENIS DE CAMPO - POLID
PSE110, TEO. PSIC. PERSONALIDAD I
REL319, TEO. Y PRÁCT. POLÍTICA EXTER.
PSE211, TEOR. PSIC. PERSONALIDAD II
CCC303, TEORIA BASE DE DATOS I
CDI-3, TEORIA DEL COLOR
DER105, TEORIA GENERAL DEL ESTADO
REL316, TEORÍA DE LAS RELAC. INT. II -
DER219, TEORÍA GENERAL DEL PROCESO
BMD301, TERMODINAMICA 
MEC300, TERMODINÁMICA 
CIV303, TOPOGRAFIA I
CIV305, TOPOGRAFIA II
TEL408, TRANS. SAT. Y FIBRA ÓPTICA
TUR410, TURISMO DE AVENTURA
TUR408, TURISMO RURAL
TUR306, TURISMO SOSTENIBLE
COM214, TÉCNICAS DE PRODUCC. SONORA - Lab. de Computo
PSE316, TÉCNICAS TERAPÉUTICAS I
BMD405, UNIDAD CARDIO. Y NEURO.
ARQ401, URBANISMO I
ARQ402, URBANISMO II
MAT209, VARIABLE COMPLEJA
CIV501, VIAS DE COMUNICACION I
CIV504, VIAS DE COMUNICACION II
NADG 4, VIRTUAL IMAGE - Taller de Diseño de 1:00pm a 3:40pm
DEP101, VOLEIBOL - EN POLIDEPORTIVO
CDA-02, XCODE E INTERFACE BUILDER
NUE102, ÉTICA E,  SALUD -
PSE109, ÉTICA PSICOLÓGICA
